Код,Ячейка Пугачева,Номенклатура,Ед.изм.,Количество Основной склад,Количество База Дзержинского,Количество Чепецк,Количество Сыктывкар,Резерв,Розница,Клубная,Красная,Корпоративная,ОптОтсрочка1,ОптОтсрочка2,ОптПредоплата,МКЦ,МОЦ,Бонус
33905,,1607014171 Щетки GWS 23-230 Акция! (ПГ) Для платных ремонтов! 1607000480,шт,1,289,0,0,289,413,344,337,333,330,325,319,303,287,6
19275,З-В-А-1-2,1607014176 Щетки GWS 7/8/9/10/11/14-125 (ПГ25),шт,0,0,0,1,10,412,343,336,332,329,324,318,302,286,6
84648,,1607031223 Щетки GWS 6-115 (ПГ22) 1607014145,шт,3,0,9,7,2,241,201,197,194,193,190,186,177,168,4
84650,,1607014171 Щетки GWS 18/19/20/21/23/24/26-230 (ПГ26),шт,10,0,10,9,0,428,357,350,346,343,338,332,316,299,7
84646,,1607031254 Щетки GWS 11-125 (ПГ26) 1607000V53,шт,0,0,2,2,0,397,331,324,320,318,313,307,292,276,6
84651,,1607014176 Щетки GWS 7/8/9/10/11/14-125 (ПГ25),шт,8,0,10,10,0,449,374,367,362,359,354,347,330,312,7
84649,,1607031256 Щетки GBH 2-22/2-26 (ПГ22) 1617000525,шт,8,0,10,10,0,173,144,141,140,139,137,134,128,121,2
85249,,1607031266 Щетки GWS 15-125 (ПГ26) 1607000V37,шт,0,0,5,5,0,394,328,321,317,315,310,304,289,274,6
87223,,J-профиль 3050мм DOCKE PREMIUM Шоколад,шт,0,1,0,0,0,250,230,225,216,213,207,199,197,195,4
55372,,J-профиль Amerika 3м салатовый,шт,0,5,0,0,0,202,181,177,172,167,164,156,153,152,3
55371,,J-профиль Amerika 3м серый,шт,0,1,0,0,0,202,181,177,172,167,164,156,153,152,3
51429,,"J-профиль широкий Fine Ber 3,6 м, белый",шт,0,4,0,0,0,371,350,343,337,334,328,320,319,317,3
68127,,"Агротекс 17 спанбонд 1,6*500 м рул. плотность 17 гр\м2, размер 1,6*500 м, S=800 м2 От перегревов и насекомых.Предназначенные для укрытия с/x культурНА ГРЯДКАХ БЕЗ ДУГ или иных каркасов. По мере роста растения легко поднимают полотно без повреждений стебля, листьев или плодов.",рул,0,1,0,0,0,3810,3550,3470,3450,3370,3320,3140,3010,2880,66
78206,,"Агротекс 30 спанбонд 3,2*200 м (св. 1,6 м) рул. плотность 30 гр\м2, размер 3,2*200 м, S=640 м2 От перегревов и насекомых.Предназначенные для укрытия с/x культурНА ГРЯДКАХ БЕЗ ДУГ или иных каркасов. По мере роста растения легко поднимают полотно без повреждений стебля, листьев или плодов.",пог.м,1,191,0,0,0,30,5,27,5,26,26,26,26,26,26
78207,,"Агротекс 42 спанбонд 3,2*200 м (св. 1,6 м) рул. плотность 42 гр\м2, размер 3,2*200 м, S=640 м2 От заморозков, осадков. Имеют более плотную структуру и подходятДЛЯ УКРЫТИЯ ДУГ, каркасов парников и теплиц, установленных на даче. На внутренней стороне не нарушает воздухо- и водообмен, не образует конденсата, пропускает до 90 % света.",пог.м,1,100,0,0,0,42,37,5,35,5,35,5,35,5,35
49430,,"Агротекс 60 спанбонд 3,2*200 м (св. 1,6 м) черный рул. плотность 60 гр\м2, размер 3,2*200 м, S=640 м2 Предназначен ДЛЯ МУЛЬЧИРОВАНИЯ и защиты плодов от соприкосновения с почвой и загнивания. Является дышащим материалом и не препятствует воздухообмену. Незаменим на грядках в борьбе с сорняками.",рул,0,1,0,0,0,11590,10810,10570,10500,10240,10120,9560,9160,8770,0
78209,,"Агротекс 60 спанбонд 3,2*200 м (св. 1,6 м) черный рул. плотность 60 гр\м2, размер 3,2*200 м, S=640 м2 Предназначен ДЛЯ МУЛЬЧИРОВАНИЯ и защиты плодов от соприкосновения с почвой и загнивания. Является дышащим материалом и не препятствует воздухообмену. Незаменим на грядках в борьбе с сорняками.",пог.м,0,11,0,0,0,62,5,56,53,5,53,5,53,5,53
49429,,"Агротекс 60 спанбонд 3,2*200 м (св. 1,6 м) рул плотность 60 гр\м2, размер 3,2*200 м, S=640 м2 От заморозков, осадков. Имеют более плотную структуру и подходятДЛЯ УКРЫТИЯ ДУГ, каркасов парников и теплиц, установленных на даче. На внутренней стороне не нарушает воздухо- и водообмен, не образует конденсата, пропускает до 90 % света.",рул,0,1,0,0,0,10400,9700,9490,9420,9190,9080,8570,8220,7870,181
78208,,"Агротекс 60 спанбонд 3,2*200 м (св. 1,6 м) рул плотность 60 гр\м2, размер 3,2*200 м, S=640 м2 От заморозков, осадков. Имеют более плотную структуру и подходятДЛЯ УКРЫТИЯ ДУГ, каркасов парников и теплиц, установленных на даче. На внутренней стороне не нарушает воздухо- и водообмен, не образует конденсата, пропускает до 90 % света.",пог.м,0,400,0,0,0,60,53,5,51,51,51,51,51,51,51
